,0,1,2,3,4,5,6,target,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
9,MVD5,ANJO,20170807,162040,9,3.9,1222,0,7.1,136.8421,34.8337,-20.644000000000002,-6.309,1.5119999999999998,1.311,1.311,0.0,-0.01268,-0.0075,0.0,0.0,-13.3,25.1,0.0,-21.833000000000002,-6.825,-3.3,-19.832,-7.13,10.8,137.0678,34.8908,0.025,93,0.6343,9.9,0.5163,10.0,3,0.7568,0.605
4,MVD5,ANJO,20170807,161044,9,3.9,1083,0,7.8,137.2138,34.8029,13.360999999999999,-9.741,1.133,0.613,0.613,0.0,0.01427,-0.00965,0.0,0.0,-13.2,19.0,0.0,13.827,-9.408999999999999,-28.1,12.853,-9.982999999999999,-12.4,137.0678,34.8908,0.025,100,0.5875,9.9,0.6588,5.0,5,0.7303,0.5760000000000001
36,MVD5,ANJO,20170807,163206,9,1.7,1278,0,10.9,137.2268,34.9062,14.529000000000002,1.7209999999999999,0.442,1.003,1.003,0.0,0.01658,-0.010209999999999999,0.0,0.0,-9.5,20.6,0.0,16.02,2.8680000000000003,-24.2,15.524000000000001,-0.16699999999999998,-2.4,137.0678,34.8908,0.025,100,0.7185,9.9,0.6243,4.0,7,0.7682,0.605
3,MVD5,ANJO,20170807,160818,9,1.7,1018,0,9.0,137.2365,34.7795,15.442,-12.33,0.609,0.858,0.858,0.0,0.0115,-0.01102,0.0,0.0,-7.5,12.1,0.0,15.869000000000002,-9.845,-31.7,14.825,-12.552,-13.7,137.0678,34.8908,0.025,82,0.5853,9.9,0.6781,3589.0,8,0.7373,0.613
42,MVD5,ANJO,20170807,163506,9,2.7,1412,0,9.0,137.2628,34.9473,17.809,6.282,0.9159999999999999,1.3359999999999999,1.3359999999999999,0.0,-0.013930000000000001,0.00109,0.0,0.0,-16.6,25.1,0.0,17.848,4.369,-19.3,18.547,7.55,-1.4,137.0678,34.8908,0.025,99,0.7234,9.9,0.5817,3.0,5,0.9105,0.5
14,MVD5,ANJO,20170807,162526,9,1.0,1050,0,16.0,137.3056,34.8174,21.759,-8.113999999999999,0.431,0.885,0.885,0.0,0.020909999999999998,-0.00936,0.0,0.0,-12.2,18.1,0.0,23.397,-7.353,-39.7,21.945999999999998,-9.527000000000001,-7.7,137.0678,34.8908,0.025,87,0.6289,9.9,0.7199,4.0,19,0.7966,0.5
37,MVD5,ANJO,20170807,163307,9,2.7,1397,0,9.5,136.8741,34.8054,-17.722,-9.453,1.005,1.2009999999999998,1.2009999999999998,0.0,-0.01719,-0.01065,0.0,0.0,-9.6,22.3,0.0,-15.12,-11.214,-10.9,-17.299,-6.627000000000001,8.2,137.0678,34.8908,0.025,54,0.5627,9.9,0.476,11.0,4,0.6413,0.5
2,MVD5,ANJO,20170807,160619,9,1.7,1018,0,8.9,137.2441,34.7702,16.14,-13.362,0.63,0.828,0.828,0.0,0.01181,-0.011,0.0,0.0,-6.8,15.1,0.0,15.674000000000001,-12.703,-30.5,16.389,-15.085,-12.8,137.0678,34.8908,0.025,98,0.6023,9.9,0.7136,3589.0,6,0.6604,0.5
52,MVD5,ANJO,20170807,163704,9,2.7,1472,0,7.6,136.9906,34.6879,-7.074,-22.506,1.1440000000000001,1.102,1.102,0.0,0.0184,-0.0035700000000000003,0.0,0.0,-6.6,19.5,0.0,-7.037999999999999,-22.395,-27.2,-8.027000000000001,-22.219,-12.0,137.0678,34.8908,0.025,45,0.5711,9.9,0.4992,10.0,5,0.8004,0.586
38,MVD5,ANJO,20170807,163307,9,2.7,1387,0,6.8,137.1687,34.9004,9.22,1.067,0.45799999999999996,0.645,0.645,0.0,0.02325,0.0022,0.0,0.0,-14.0,12.2,0.0,8.785,1.5730000000000002,-17.1,9.363,0.48200000000000004,-3.5,137.0678,34.8908,0.025,92,0.7709,9.9,0.6049,4.0,5,0.8475,0.5
